Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-08-01,Dead Poets Society,1989,https://boxd.it/iZqnp,4.5,,,2017-08-01
2017-08-02,Despicable Me 3,2017,https://boxd.it/j1hWp,2,,,2017-08-01
2017-10-16,Fast Times at Ridgemont High,1982,https://boxd.it/kSt3B,3.5,,,2017-08-02
2017-08-05,Landline,2017,https://boxd.it/j5mQf,3,,,2017-08-04
2017-08-05,The Sweatbox,2002,https://boxd.it/j5XN3,,,,2017-08-05
2017-08-07,Detroit,2017,https://boxd.it/j8lut,4,,,2017-08-05
2017-08-07,Nine to Five,1980,https://boxd.it/j8AON,4,,,2017-08-06
2017-08-11,Lion,2016,https://boxd.it/je7b5,3,,,2017-08-10
2017-08-12,Fried Green Tomatoes,1991,https://boxd.it/jgmYF,4,,,2017-08-12
2017-08-13,2012,2009,https://boxd.it/jgYrz,1,,,2017-08-12
2017-08-17,Joseph: King of Dreams,2000,https://boxd.it/jnGS7,3,,,2017-08-16
2017-08-17,From Up on Poppy Hill,2011,https://boxd.it/jnHcr,3.5,Yes,,2017-08-17
2017-08-17,Ocean Waves,1993,https://boxd.it/jnMcr,2,Yes,,2017-08-17
2017-08-18,The Royal Tenenbaums,2001,https://boxd.it/joLdP,4.5,Yes,,2017-08-17
2017-08-18,A Haunting In Connecticut,2002,https://boxd.it/joR1v,,,,2017-08-18
2017-08-23,Fried Green Tomatoes,1991,https://boxd.it/jv0x3,4.5,Yes,,2017-08-22
2017-08-23,Annabelle: Creation,2017,https://boxd.it/jvFjh,2.5,,,2017-08-22
2017-08-23,Halloween II,1981,https://boxd.it/jvPrZ,3,,,2017-08-23
2017-08-27,Snow White and the Seven Dwarfs,1937,https://boxd.it/jBTlX,3.5,Yes,,2017-08-26
2017-08-27,The Adventures of Ichabod and Mr. Toad,1949,https://boxd.it/jBTn5,3,,,2017-08-26
2017-08-27,Tarzan,1999,https://boxd.it/jBTvj,3.5,Yes,,2017-08-27
2017-08-29,Johnny Express,2014,https://boxd.it/jEFxV,,,,2017-08-28
2017-08-29,Fresh Guacamole,2012,https://boxd.it/jEFzd,,,,2017-08-28
2017-08-29,Castle in the Sky,1986,https://boxd.it/jEFCB,4,Yes,,2017-08-28
2017-08-29,Carpark,2013,https://boxd.it/jEFFv,,,,2017-08-28
2017-08-29,Scott Pilgrim vs. the World,2010,https://boxd.it/jEFHL,3.5,Yes,,2017-08-28
2017-08-31,Hi Stranger,2016,https://boxd.it/jIc2n,,,,2017-08-30
2017-08-31,Ingrid Goes West,2017,https://boxd.it/jIc4X,,,,2017-08-30
2017-09-01,Inside Out,2015,https://boxd.it/jJVzD,4.5,Yes,,2017-09-01
2017-09-01,Riley's First Date?,2015,https://boxd.it/jJVAB,,Yes,,2017-09-01
2017-09-12,Wind River,2017,https://boxd.it/k1sG7,3.5,,,2017-09-01
2017-09-06,Nine to Five,1980,https://boxd.it/jSMHr,4,Yes,,2017-09-06
2017-09-07,John Dies at the End,2012,https://boxd.it/jTX5Z,2,,,2017-09-06
2017-09-09,Tales of Halloween,2015,https://boxd.it/jWORr,,,,2017-09-09
2017-09-10,The Lion King,1994,https://boxd.it/jY6RV,5,Yes,,2017-09-09
2017-09-10,The Lion King 1½,2004,https://boxd.it/jYfFT,3,Yes,,2017-09-09
2017-09-10,The Lion King II: Simba's Pride,1998,https://boxd.it/jYmix,3.5,Yes,,2017-09-10
2017-09-13,The Houses October Built,2014,https://boxd.it/k3gpn,0.5,,,2017-09-12
